agent,iteration,mean,std,num_runs,ci95,ci95_lower,ci95_upper
baseline,5000,2.3747761249542236,0.08952428950938406,2,0.12407433509826658,2.250701789855957,2.4988504600524903
baseline,10000,1.9994244575500488,0.0960658175730629,2,0.13314043045043944,1.8662840270996095,2.132564888000488
baseline,15000,1.8628278970718384,0.1327096363675865,2,0.1839261722564697,1.6789017248153686,2.046754069328308
baseline,20000,1.7832449078559875,0.09614480076717231,2,0.13324989557266234,1.6499950122833251,1.91649480342865
gru,5000,3.364192008972168,0.04505565540772189,2,0.062443952560424794,3.301748056411743,3.4266359615325928
gru,10000,3.1760016679763794,0.19608349224990126,2,0.2717578554153442,2.904243812561035,3.4477595233917238
gru,15000,3.0026235580444336,0.09101291619878883,2,0.12613746643066404,2.87648609161377,3.1287610244750974
gru,20000,2.9177865982055664,0.012228992389132925,2,0.016948518753051756,2.9008380794525146,2.934735116958618
lstm_optimized,5000,3.29453444480896,0.11559262107555415,2,0.1602031993865967,3.1343312454223633,3.4547376441955566
lstm_optimized,10000,3.078598141670227,0.16108002879942163,2,0.22324553012847895,2.8553526115417482,3.301843671798706
lstm_optimized,15000,3.0850363969802856,0.005065208254039244,2,0.007020020484924315,3.0780163764953614,3.09205641746521
lstm_optimized,20000,2.892319440841675,0.1802536417113916,2,0.24981880187988278,2.642500638961792,3.1421382427215576
opponent_model,5000,2.1027488708496094,0.004877570484468744,2,0.006759967803955077,2.0959889030456544,2.1095088386535643
opponent_model,10000,1.8448399305343628,0.02889402487773447,2,0.040045075416564935,1.804794855117798,1.8848850059509277
opponent_model,15000,1.7749983668327332,0.03309648714275571,2,0.045869390964508046,1.7291289758682251,1.8208677577972412
opponent_model,20000,1.7359950542449951,0.04602688738480694,2,0.06379001140594483,1.6722050428390502,1.79978506565094
