experiment,architecture,num_runs,mean_final_exploitability,std_final_exploitability,min_final_exploitability,max_final_exploitability,delta_vs_baseline
20seed,baseline,40,2.79653934789791,0.14963995486457765,2.498257875973398,3.0588145054766915,0.0
20seed,lstm_no_embedding,40,2.935996662187215,0.23971932123775355,2.5573551423011494,3.5837886895297246,0.13945731428930497
20seed,lstm_no_history,40,2.936543517660872,0.29025485880148477,2.503118470048683,3.537941298527049,0.1400041697629617
20seed,lstm_optimized,40,2.9977073031598627,0.2862287982178816,2.324748247007423,3.528693881311055,0.20116795526195252
ablation_study_results,baseline,5,2.195069670175017,0.23051557128052966,1.920211479611094,2.5527401043037394,0.0
ablation_study_results,opponent_model,5,2.2578463611538004,0.10307439030472927,2.1481960310534274,2.384370541026932,0.06277669097878347
ablation_study_results,lstm_optimized,5,3.3505281774954994,0.0376463735915278,3.2982793066744294,3.3976567642191116,1.1554585073204824
ablation_study_results,gru,5,3.390494436766324,0.06921584696566051,3.279951685155182,3.4679694138131256,1.195424766591307
architecture,baseline,5,2.847951970069929,0.0903789974792227,2.700130449832542,2.9386249025006825,0.0
architecture,lstm_optimized,5,2.9708655532323633,0.2545549556598075,2.5653277913331634,3.1588997360706212,0.12291358316243439
architecture,gru,5,3.0366354011352,0.21337113978021105,2.710221870845685,3.249810797144457,0.1886834310652712
batch32,baseline,20,2.6231896981336553,0.11780998256381038,2.4462027913651365,2.9282940706789753,0.0
batch32,lstm_no_history,20,3.0440018372056614,0.24087184033105424,2.5621120552075136,3.429485610164508,0.4208121390720061
batch32,lstm_no_embedding,20,3.06836513399505,0.26462627449358245,2.5371186189461383,3.444424662650731,0.44517543586139485
batch32,lstm_optimized,20,3.103100818126028,0.3668551180293594,2.287880343192152,3.5578691347369977,0.47991111999237246
update10,baseline,20,2.615369835988647,0.10343646801922665,2.4239193750124577,2.778472405016467,0.0
update10,lstm_optimized,20,3.092388891033228,0.21317849428033755,2.7813706518171815,3.46399695593109,0.47701905504458075
update10,lstm_no_embedding,20,3.1335632865923264,0.26362068300712277,2.603915796595293,3.535786925703299,0.5181934506036794
update10,lstm_no_history,20,3.1571270412822536,0.27322450544108673,2.5752734535637534,3.515983389302333,0.5417572052936066
