experiment,architecture,runs,successes,success_rate
20seed,baseline,40,40,1.0
20seed,lstm_no_embedding,40,40,1.0
20seed,lstm_no_history,40,40,1.0
20seed,lstm_optimized,40,40,1.0
ablation_study_results,baseline,3,3,1.0
ablation_study_results,opponent_model,3,3,1.0
architecture,baseline,5,5,1.0
architecture,gru,5,5,1.0
architecture,lstm_optimized,5,5,1.0
batch32,baseline,20,20,1.0
batch32,lstm_no_embedding,20,20,1.0
batch32,lstm_no_history,20,20,1.0
batch32,lstm_optimized,20,20,1.0
update10,baseline,20,20,1.0
update10,lstm_no_embedding,20,20,1.0
update10,lstm_no_history,20,20,1.0
update10,lstm_optimized,20,20,1.0
