run_id,game,policy,backend,device,seed,iterations,final_exploitability,final_nash_conv,exploit_auc,nash_auc
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,0,500,2.626251663217415,5.25250332643483,1196.8109268050925,2393.621853610185
kuhn_poker_cfr_seed0_1760574819_submission,kuhn_poker,cfr,unknown,unknown,0,1000,0.0009376166469928296,0.0018752332939856592,5.18907430542863,10.37814861085726
kuhn_poker_neural_tabular_seed0_1760573385_submission,kuhn_poker,neural_tabular,unknown,unknown,0,500,0.22595735956343474,0.4519147191268695,135.68298835683393,271.36597671366786
kuhn_poker_neural_tabular_seed0_1760574049_submission,kuhn_poker,neural_tabular,unknown,unknown,0,500,0.3021741733233364,0.6043483466466728,126.58409213009172,253.16818426018344
kuhn_poker_neural_tabular_seed1_1760573410_submission,kuhn_poker,neural_tabular,unknown,unknown,1,500,0.2334700692700085,0.466940138540017,157.7433617194591,315.4867234389182
kuhn_poker_neural_tabular_seed1_1760574082_submission,kuhn_poker,neural_tabular,unknown,unknown,1,500,0.343198633469208,0.686397266938416,149.4188095114829,298.8376190229658
kuhn_poker_neural_tabular_seed2_1760573435_submission,kuhn_poker,neural_tabular,unknown,unknown,2,500,0.3020124086646555,0.604024817329311,128.82537722835585,257.6507544567117
kuhn_poker_neural_tabular_seed2_1760574106_submission,kuhn_poker,neural_tabular,unknown,unknown,2,500,0.23443357543375312,0.46886715086750624,151.2130503977794,302.4261007955588
kuhn_poker_neural_tabular_seed3_1760573460_submission,kuhn_poker,neural_tabular,unknown,unknown,3,500,0.33318098209959546,0.6663619641991909,144.86490320610147,289.72980641220295
kuhn_poker_neural_tabular_seed3_1760574129_submission,kuhn_poker,neural_tabular,unknown,unknown,3,500,0.2582866593546184,0.5165733187092368,146.51428362829938,293.02856725659876
kuhn_poker_neural_tabular_seed4_1760573486_submission,kuhn_poker,neural_tabular,unknown,unknown,4,500,0.20999834942939344,0.4199966988587869,131.84479044282136,263.6895808856427
kuhn_poker_neural_tabular_seed4_1760574153_submission,kuhn_poker,neural_tabular,unknown,unknown,4,500,0.2691856690874159,0.5383713381748318,125.72133005726295,251.4426601145259
leduc_poker_cfr_seed0_1760574770_submission,leduc_poker,cfr,unknown,unknown,0,1000,0.01181720325037413,0.02363440650074826,59.31419698143802,118.62839396287605
leduc_poker_neural_tabular_seed0_1760573590_submission,leduc_poker,neural_tabular,unknown,unknown,0,500,2.2660132011838052,4.5320264023676105,1157.820638721176,2315.641277442352
leduc_poker_neural_tabular_seed0_1760574266_submission,leduc_poker,neural_tabular,unknown,unknown,0,500,2.365699054454825,4.73139810890965,1174.9982607453073,2349.9965214906147
leduc_poker_neural_tabular_seed1_1760573696_submission,leduc_poker,neural_tabular,unknown,unknown,1,500,2.380569092092472,4.761138184184944,1184.4226979351763,2368.8453958703526
leduc_poker_neural_tabular_seed1_1760574368_submission,leduc_poker,neural_tabular,unknown,unknown,1,500,2.2524711881505732,4.5049423763011465,1173.5180322596448,2347.0360645192895
leduc_poker_neural_tabular_seed2_1760573798_submission,leduc_poker,neural_tabular,unknown,unknown,2,500,2.4497534281870443,4.899506856374089,1214.8737688879683,2429.7475377759365
leduc_poker_neural_tabular_seed2_1760574471_submission,leduc_poker,neural_tabular,unknown,unknown,2,500,2.3213388965240522,4.6426777930481045,1199.0998335958377,2398.1996671916754
leduc_poker_neural_tabular_seed3_1760573900_submission,leduc_poker,neural_tabular,unknown,unknown,3,500,2.4543986583255895,4.908797316651179,1200.5430586236682,2401.0861172473365
leduc_poker_neural_tabular_seed3_1760574572_submission,leduc_poker,neural_tabular,unknown,unknown,3,500,2.4303982551311947,4.860796510262389,1186.030059701373,2372.060119402746
leduc_poker_neural_tabular_seed4_1760574003_submission,leduc_poker,neural_tabular,unknown,unknown,4,500,2.4556870188385336,4.911374037677067,1209.142572865739,2418.285145731478
leduc_poker_neural_tabular_seed4_1760574674_submission,leduc_poker,neural_tabular,unknown,unknown,4,500,2.356626516019359,4.713253032038718,1208.6501035618246,2417.300207123649
kuhn_poker_cfr_seed0_iter1000_epi128_backendpyspiel_cfr_iter1000_cfr_20251017_222840,kuhn_poker,cfr,unknown,unknown,0,1000,0.0009376166469928296,0.0018752332939856592,5.18907430542863,10.37814861085726
kuhn_poker_cfr_seed0_iter1000_epi128_backendpyspiel_cfr_iter1000_cfr_20251017_224424,kuhn_poker,cfr,unknown,unknown,0,1000,0.0009376166469928296,0.0018752332939856592,5.18907430542863,10.37814861085726
kuhn_poker_cfr_seed0_iter1000_epi128_backendpyspiel_devicecpu_cfr_iter1000_cfr_20251020_050315,kuhn_poker,cfr,pyspiel,cpu,0,1000,0.0009376166469928296,0.0018752332939856592,5.18907430542863,10.37814861085726
kuhn_poker_neural_tabular_seed0_iter500_epi128_backendpyspiel_devicecpu_iter500_epi128_pyspiel_neural_20251019_174754,kuhn_poker,neural_tabular,pyspiel,cpu,0,500,0.37499999541666673,0.7499999908333335,208.5283061754468,417.0566123508936
kuhn_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_iter500_epi128_rust_neural_20251019_233505,kuhn_poker,neural_tabular,rust,cpu,0,500,0.35416666250000006,0.7083333250000001,172.62567456055197,345.25134912110394
kuhn_poker_neural_tabular_seed0_iter500_epi128_backendrust_iter500_epi128_neural_20251017_221950,kuhn_poker,neural_tabular,unknown,unknown,0,500,0.23523935155658993,0.47047870311317985,124.49653119081152,248.99306238162305
kuhn_poker_neural_tabular_seed0_iter500_epi128_backendrust_iter500_epi128_neural_20251017_223518,kuhn_poker,neural_tabular,unknown,unknown,0,500,0.26508714980593345,0.5301742996118669,136.64761998432988,273.29523996865976
