iteration,exploitability,nash_conv,actor_loss,average_lambda,mean_episode_length,mean_return_player0,mean_return_player1,wall_time_sec,scheduler_loss,gate_entropy,gate_regret_norm,gate_avg_utility,handoff_frozen_clusters,handoff_missing_clusters,gate_prob_actor,gate_prob_regret,gate_prob_ra,gate_prob_explore,gate_prob_cfr
1,2.373611041250001,4.747222082500002,0.0,0.2125827921452103,4.265625,0.2265625,-0.2265625,6.143589665996842,0.0004734726145472497,1.6048079851346138,0.0,0.0,0.0,0.0,0.223622189391227,0.2125827921452103,0.16810206725047186,0.19580103522473638,0.19989192600433642
2,2.3516466063358723,4.703293212671745,-1.6068494549172897e-05,0.21046658259927084,4.078125,0.3046875,-0.3046875,5.794748582993634,0.00032111609549086785,1.606295324833457,8.225607981207639e-10,-3.7895359593365097e-14,0.0,0.0,0.21759913499213726,0.21046658259927084,0.17293935212024783,0.19662766264202036,0.20236727612457056
3,2.3826086690847683,4.765217338169537,-9.959627630063916e-05,0.20895670035055705,4.15625,-0.453125,0.453125,6.011895417002961,-0.24127667866773286,1.6073089094090283,0.01299492067967852,-2.7152326490901637e-06,0.0,0.0,0.2123106932337571,0.20895670035055705,0.1771112221356173,0.19822057048068906,0.20340082248238692
4,2.4040106623904682,4.8080213247809365,-3.968832040502539e-05,0.20866330551185858,4.171875,-0.2265625,0.2265625,5.896828458993696,-0.5957439221190602,1.60748209667563,0.0311688471895953,-4.9363199157899844e-06,0.0,0.0,0.21171618286478386,0.20866330551185858,0.17809928789009316,0.19853817643632604,0.20298305742637943
5,2.433732446732928,4.867464893465856,-6.568987310219142e-05,0.20680861801898787,4.234375,-0.4609375,0.4609375,6.017390332999639,-0.86976267378846,1.6075773459079081,0.04568807237471143,-5.341083417912766e-06,0.0,0.0,0.21233204991395183,0.20680861801898787,0.17867592436251165,0.19915554480029207,0.20302786903517714
6,2.3849775275728,4.7699550551456,-2.9842335485515856e-05,0.204822841707779,4.3125,0.0546875,-0.0546875,6.065231832966674,-0.8858343446154849,1.607582837343216,0.06074282775322596,-4.914108744221342e-06,0.0,0.0,0.21493995956320694,0.204822841707779,0.1796112224675607,0.2005414192335329,0.2000845641815576
7,2.4085378270816706,4.817075654163341,-0.00028467711913548305,0.20258337168061002,4.2109375,-0.4140625,0.4140625,5.922408624959644,-1.1345339901641647,1.6074217139900504,0.0831414433196187,-3.44773032405025e-06,0.0,0.0,0.2176923761230674,0.20258337168061002,0.18014585792133672,0.20161328101202375,0.1979651233813758
8,2.4172954675029192,4.8345909350058385,4.952976771355656e-05,0.19942627935015203,4.109375,-0.2421875,0.2421875,5.781162915984169,-1.3001522879070202,1.6071756110445174,0.10596189523736636,-2.1219647313349318e-07,0.0,0.0,0.2208836798488867,0.19942627935015203,0.18149431811879344,0.20356800778283818,0.1946277214150465
9,2.434480149780799,4.868960299561598,-0.00024603945970704335,0.196631745747992,4.3046875,-0.8671875,0.8671875,6.134650416963268,-1.9118896094936804,1.606723610805297,0.1291871014982462,5.9671821664627105e-06,0.0,0.0,0.223791126114487,0.196631745747992,0.18247102503876073,0.2055249521931373,0.1915811585319886
10,2.418120692429386,4.836241384858772,2.78499225541443e-05,0.19204286359122333,4.0859375,0.0,0.0,5.809855542029254,-1.5395621139890947,1.6058726561456975,0.14805296870569387,1.5109567812032765e-05,0.0,0.0,0.22838532089845173,0.19204286359122333,0.18347105466498928,0.20706967396900258,0.18903109602217008
