algorithm,game,config_hash,seed,iteration,nash_conv,exploitability,wall_clock_time,final_reward,parameters,flops_per_forward,training_flops,model_size_mb,timestamp,run_id,notes
neural_tabular,leduc_poker,537c5cae,0,500,5.25250332643483,2.626251663217415,3367.814463824325,0.0390625,0,0,0,0.0,2025-10-19_17:17:17,run_1760890637_29c993,
neural_tabular,kuhn_poker,09fd8c15,0,500,0.7499999908333335,0.37499999541666673,943.9654924924835,0.4375,0,0,0,0.0,2025-10-19_17:47:54,run_1760892474_f70ebb,"iter500_epi128_pyspiel,neural"
neural_tabular,kuhn_poker,09fd8c15,1,500,0.8333333216666668,0.4166666608333334,1059.6295430928585,0.03125,0,0,0,0.0,2025-10-19_18:05:38,run_1760893538_a07313,"iter500_epi128_pyspiel,neural"
neural_tabular,kuhn_poker,09fd8c15,2,500,0.7499999916666669,0.37499999583333343,973.0509553620359,0.046875,0,0,0,0.0,2025-10-19_18:21:56,run_1760894516_163529,"iter500_epi128_pyspiel,neural"
neural_tabular,kuhn_poker,09fd8c15,3,500,0.5833333273538965,0.29166666367694827,920.6488412059844,0.0234375,0,0,0,0.0,2025-10-19_18:37:21,run_1760895441_d88422,"iter500_epi128_pyspiel,neural"
neural_tabular,kuhn_poker,09fd8c15,4,500,0.24999999500000014,0.12499999750000007,964.6299125364749,-0.0625,0,0,0,0.0,2025-10-19_18:53:31,run_1760896411_dbec36,"iter500_epi128_pyspiel,neural"
neural_tabular,leduc_poker,09fd8c15,0,500,5.26342579580351,2.631712897901755,3205.4933302122517,0.1875,0,0,0,0.0,2025-10-19_19:47:02,run_1760899622_c2f584,"iter500_epi128_pyspiel,neural"
neural_tabular,leduc_poker,09fd8c15,1,500,4.741570557211746,2.370785278605873,3073.862751963141,-0.3046875,0,0,0,0.0,2025-10-19_20:38:19,run_1760902699_a423a2,"iter500_epi128_pyspiel,neural"
neural_tabular,leduc_poker,09fd8c15,2,500,5.292740745054067,2.6463703725270333,3186.8859985844465,-0.15625,0,0,0,0.0,2025-10-19_21:31:32,run_1760905892_7ac22a,"iter500_epi128_pyspiel,neural"
neural_tabular,leduc_poker,09fd8c15,3,500,4.810739966120913,2.4053699830604565,3176.9883191813715,-0.28125,0,0,0,0.0,2025-10-19_22:24:35,run_1760909075_cd9be7,"iter500_epi128_pyspiel,neural"
neural_tabular,leduc_poker,09fd8c15,4,500,4.951039533483279,2.4755197667416393,3253.7513471310376,1.4609375,0,0,0,0.0,2025-10-19_23:18:57,run_1760912337_4ae015,"iter500_epi128_pyspiel,neural"
neural_tabular,kuhn_poker,537c5cae,0,500,0.7083333250000001,0.35416666250000006,962.7046466104803,0.0703125,0,0,0,0.0,2025-10-19_23:35:05,run_1760913305_e14ed3,"iter500_epi128_rust,neural"
neural_tabular,kuhn_poker,537c5cae,1,500,0.7499999891666669,0.37499999458333344,1003.3549235255923,0.1875,0,0,0,0.0,2025-10-19_23:51:54,run_1760914314_1210e3,"iter500_epi128_rust,neural"
neural_tabular,kuhn_poker,537c5cae,2,500,0.6666666591666668,0.3333333295833334,970.7472615428851,0.1875,0,0,0,0.0,2025-10-20_00:08:10,run_1760915290_045134,"iter500_epi128_rust,neural"
neural_tabular,kuhn_poker,537c5cae,3,500,1.0833333150000004,0.5416666575000002,944.4342567543499,-0.234375,0,0,0,0.0,2025-10-20_00:24:00,run_1760916240_85d9d0,"iter500_epi128_rust,neural"
neural_tabular,kuhn_poker,537c5cae,4,500,0.7499999925000002,0.3749999962500001,992.4336023346987,0.3671875,0,0,0,0.0,2025-10-20_00:40:38,run_1760917238_77d79c,"iter500_epi128_rust,neural"
neural_tabular,leduc_poker,537c5cae,0,500,4.823436653416681,2.4117183267083404,3189.9614313779166,-0.0078125,0,0,0,0.0,2025-10-20_01:33:53,run_1760920433_8fa9f0,"iter500_epi128_rust,neural"
neural_tabular,leduc_poker,537c5cae,1,500,4.78043882486443,2.390219412432215,3051.779666878807,-0.015625,0,0,0,0.0,2025-10-20_02:24:51,run_1760923491_957c46,"iter500_epi128_rust,neural"
neural_tabular,leduc_poker,537c5cae,2,500,5.062703792695883,2.5313518963479416,3209.7285186343943,-0.6328125,0,0,0,0.0,2025-10-20_03:18:27,run_1760926707_c9f5d4,"iter500_epi128_rust,neural"
neural_tabular,leduc_poker,537c5cae,3,500,5.257892222521418,2.628946111260709,3147.3329310355475,0.8046875,0,0,0,0.0,2025-10-20_04:11:00,run_1760929860_5de052,"iter500_epi128_rust,neural"
neural_tabular,leduc_poker,537c5cae,4,500,5.372011108691362,2.686005554345681,3122.8402672461816,1.0546875,0,0,0,0.0,2025-10-20_05:03:09,run_1760932989_a13a9d,"iter500_epi128_rust,neural"
cfr,kuhn_poker,d93e8ebc,0,1000,0.0018752332939856592,0.0009376166469928296,0.18613440956687555,-0.05562503158224917,0,0,0,0.0,2025-10-20_05:03:15,run_1760932995_9a5c38,"cfr_iter1000,cfr"
cfr,leduc_poker,d93e8ebc,0,1000,0.02363440650074826,0.01181720325037413,61.696923568611965,-0.08722358977826143,0,0,0,0.0,2025-10-20_05:04:22,run_1760933062_f750b2,"cfr_iter1000,cfr"
