agent,iteration,mean,std,num_runs,ci95,ci95_lower,ci95_upper
baseline,50,2.9134209211651685,0.11530467265217519,20,0.050534500890030434,2.862886420275138,2.963955422055199
baseline,100,2.8030595900496165,0.11750203870607072,20,0.05149753902415077,2.751562051025466,2.854557129073767
baseline,150,2.7083945717430193,0.11457819899805631,20,0.05021610977303383,2.6581784619699853,2.7586106815160534
baseline,200,2.6231896981336553,0.11780998256381038,20,0.05163250137038601,2.571557196763269,2.6748221995040415
lstm_no_embedding,50,2.960815895585788,0.13107127146887182,20,0.057444517488738314,2.9033713780970496,3.0182604130745263
lstm_no_embedding,100,2.9128222761836864,0.1917029115160194,20,0.08401750536035153,2.828804770823335,2.996839781544038
lstm_no_embedding,150,2.9519688518155087,0.23457299194568254,20,0.10280614651250713,2.8491627053030015,3.054774998328016
lstm_no_embedding,200,3.06836513399505,0.26462627449358245,20,0.11597757832643314,2.952387555668617,3.184342712321483
lstm_no_history,50,2.9681326881996424,0.13515440514689608,20,0.059234029723933386,2.908898658475709,3.027366717923576
lstm_no_history,100,2.9165839716200166,0.19859176470330342,20,0.08703667838705303,2.8295472932329635,3.0036206500070697
lstm_no_history,150,2.944585194537937,0.23985186857151222,20,0.10511971620062435,2.8394654783373126,3.049704910738561
lstm_no_history,200,3.0440018372056614,0.24087184033105424,20,0.1055667385337597,2.938435098671902,3.149568575739421
lstm_optimized,50,2.9240873202460618,0.16973502802239823,20,0.07438965592089916,2.849697664325163,2.9984769761669607
lstm_optimized,100,2.910132190118987,0.26588642735642737,20,0.11652986466925214,2.793602325449735,3.0266620547882392
lstm_optimized,150,2.9765527295749767,0.3459545741420489,20,0.151621277202088,2.824931452372889,3.1281740067770647
lstm_optimized,200,3.103100818126028,0.3668551180293594,20,0.1607813444342418,2.942319473691786,3.2638821625602694
